帖子ID,评论ID,父评论ID,评论内容,评论IP,喜欢数,时间戳,用户信息,艾特的人,已喜欢,标签,状态
67b8386e000000001203fabe,67bc248400000000190110ff,,不仅斑点离家出走现在脸都透亮的像打了光一样[害羞R][害羞R]素颜出门老自信了[萌萌哒R],上海,1,1740383365000,今天买什么,,false,"is_author,user_top",4
67b8386e000000001203fabe,67d8a87f000000001800cf25,,早上也用小白瓶吗？,广西,2,1742252160000,别回头,,false,,0
67b8386e000000001203fabe,67b99f260000000016019b9c,,天哪，这两个我都有[哇R]居然从来没有把它们组合在一起过，今天又学到了[哇R],北京,2,1740218150000,yao,,false,,0
67b8386e000000001203fabe,67d5a383000000001800c0cb,,这个是真好用[偷笑R],广西,1,1742054276000,大头小琼,,false,,0
67b8386e000000001203fabe,67b99872000000001b03a6f5,,混干码住,陕西,1,1740216435000,和你散步🍪,,false,,0
67b8386e000000001203fabe,67bb25fb000000001b03a24d,,油皮有啥推荐,湖北,1,1740318203000,喜欢😘,,false,,0
67b8386e000000001203fabe,67bb2962000000001900427e,,油皮有啥推荐[飞吻R][哭惹R],湖北,1,1740319074000,杨老师🎻🎵,,false,,0
67b8386e000000001203fabe,67b99d08000000001b03db24,,好吧戳,山西,0,1740217608000,🌈小铃铛🌈（全新版）,,false,,0
67b8386e000000001203fabe,67bb236a000000001c003e7e,,混皮肤的福利呀,湖北,0,1740317547000,开心果,,false,,0
67b8386e000000001203fabe,67bc279e0000000018036d2d,,这对cp简直无敌了,河北,0,1740384159000,👸👸👸洋洋好运,,false,,0
67b8386e000000001203fabe,67d88f64000000001702b6a1,67bc248400000000190110ff,˵¯͒〰¯͒˵,辽宁,1,1742245733000,小红薯676A43F9,,false,,0
67b8386e000000001203fabe,67d8d1440000000015028555,67d8a87f000000001800cf25,白天最好不用,四川,2,1742262596000,sunny,,false,,0
67b8386e000000001203fabe,67bb12c2000000001803f45e,67b99f260000000016019b9c,总有一些意外收获[偷笑R],上海,1,1740313283000,今天买什么,,false,is_author,3
67b8386e000000001203fabe,67d8c2a20000000015000980,,用完好几瓶没感觉,安徽,0,1742258850000,晟哥,,false,,-2
67b8386e000000001203fabe,67d836ba0000000018028645,,用完一瓶多没啥感觉啊,新疆,0,1742223034000,是晴天呀,,false,,-2
67b8386e000000001203fabe,67d1c37c000000001801ede4,,我买了已经用了一段时间，用到现在皮肤都没有白，原来什么样还是什么样,上海,1,1741800316000,燕子,,false,,-2
67b8386e000000001203fabe,67ceea880000000015016c70,,好耐晒🫰,江西,0,1741613704000,钮钴禄晕晕,,false,,-2
67b8386e000000001203fabe,67bc26060000000019017da1,,被种草啦[飞吻R],河北,1,1740383751000,灿灿灿灿灿,,false,,-2
67b8386e000000001203fabe,67b9b83400000000190160b7,,油皮有啥推荐,湖南,0,1740224564000,柔软的角,,false,,-2
67b8386e000000001203fabe,67daa20a0000000018009782,,我也很想试但不知道月子期能 不能用,福建,1,1742381579000,小呢子,,false,,0
67b8386e000000001203fabe,67bc3a4a000000001c0021a9,,想买一个试试,河北,0,1740388939000,快乐宝贝🍰🍰,,false,,0
